2026-09-24 04:10:35.214 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Bike Light'
2026-09-24 04:10:37.049 [main] INFO  org.example.pages.product.ProductDetailsPage - Clicking 'Add to cart' on Details Page
2026-09-24 04:10:37.382 [main] INFO  org.example.pages.product.ProductDetailsPage - Clicking 'Remove' on Details Page
2026-09-24 04:10:52.993 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Onesie'
2026-09-24 04:10:53.140 [main] INFO  org.example.pages.product.ProductDetailsPage - Navigating back to inventory catalog via '#back-to-products'
2026-09-24 04:11:05.036 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Bolt T-Shirt'
2026-09-24 04:11:05.221 [main] INFO  org.example.pages.product.ProductDetailsPage - Clicking 'Add to cart' on Details Page
2026-09-24 04:11:05.414 [main] INFO  org.example.pages.product.ProductDetailsPage - Navigating back to inventory catalog via '#back-to-products'
2026-09-24 04:11:19.373 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Fleece Jacket'
2026-09-24 04:11:19.643 [main] INFO  org.example.pages.product.ProductDetailsPage - Hovering mouse cursor over product hero image
2026-09-24 04:11:19.939 [main] INFO  org.example.pages.product.ProductDetailsPage - Inspected hero image rendered viewport dimensions: 408x617 px
2026-09-24 04:11:35.965 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Backpack'
2026-09-24 04:13:31.560 [main] INFO  org.example.pages.inventory.InventoryPage - Adding 'Sauce Labs Backpack' to cart from inventory
2026-09-24 04:13:31.866 [main] INFO  org.example.pages.inventory.InventoryPage - Removing 'Sauce Labs Backpack' from cart from inventory
2026-09-24 04:14:02.395 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via image thumbnail for: 'Sauce Labs Bike Light'
2026-09-24 04:14:22.618 [main] INFO  org.example.pages.inventory.InventoryPage - Scrolling smoothly to footer
2026-09-24 04:14:49.631 [main] INFO  org.example.pages.inventory.InventoryPage - Selecting catalog sort option by value: 'az'
2026-09-24 04:15:01.830 [main] INFO  org.example.pages.inventory.InventoryPage - Selecting catalog sort option by value: 'za'
2026-09-24 04:15:10.406 [main] INFO  org.example.pages.inventory.InventoryPage - Selecting catalog sort option by value: 'hilo'
2026-09-24 04:15:28.185 [main] INFO  org.example.pages.inventory.InventoryPage - Selecting catalog sort option by value: 'lohi'
2026-09-24 04:15:45.552 [main] INFO  org.example.pages.inventory.InventoryPage - Selecting catalog sort option by value: 'lohi'
2026-09-24 04:18:11.764 [main] INFO  org.example.pages.inventory.InventoryPage - Scrolling smoothly to footer
2026-09-24 04:24:57.662 [main] INFO  org.example.pages.inventory.InventoryPage - Scrolling smoothly to footer
2026-09-24 04:28:29.662 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Bike Light'
2026-09-24 04:28:30.341 [main] INFO  org.example.pages.product.ProductDetailsPage - Clicking 'Add to cart' on Details Page
2026-09-24 04:28:31.591 [main] INFO  org.example.pages.product.ProductDetailsPage - Clicking 'Remove' on Details Page
2026-09-24 04:28:52.328 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Onesie'
2026-09-24 04:28:52.922 [main] INFO  org.example.pages.product.ProductDetailsPage - Navigating back to inventory catalog via '#back-to-products'
2026-09-24 04:29:13.091 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Bolt T-Shirt'
2026-09-24 04:29:13.305 [main] INFO  org.example.pages.product.ProductDetailsPage - Clicking 'Add to cart' on Details Page
2026-09-24 04:29:13.496 [main] INFO  org.example.pages.product.ProductDetailsPage - Navigating back to inventory catalog via '#back-to-products'
2026-09-24 04:29:27.422 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Fleece Jacket'
2026-09-24 04:29:50.173 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Backpack'
2026-09-24 04:30:03.631 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Backpack'
2026-09-24 04:30:20.247 [main] INFO  org.example.pages.inventory.InventoryPage - Selecting catalog sort option by value: 'lohi'
2026-09-24 04:30:21.004 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Onesie'
2026-09-24 04:30:21.188 [main] INFO  org.example.pages.product.ProductDetailsPage - Navigating back to inventory catalog via '#back-to-products'
2026-09-24 04:30:43.667 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via image thumbnail for: 'Sauce Labs Onesie'
2026-09-24 04:31:29.900 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Onesie'
2026-09-24 04:31:30.036 [main] INFO  org.example.pages.product.ProductDetailsPage - Navigating back to inventory catalog via '#back-to-products'
2026-09-24 04:42:12.154 [main] INFO  org.example.pages.inventory.InventoryPage - Adding 'Sauce Labs Backpack' to cart from inventory
